time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-05 00:00:00+00:00,5,5,316.0,5.0
2024-09-06 00:00:00+00:00,4,3,29.0,1.0
2024-09-07 00:00:00+00:00,7,3,7.0,1.0
2024-09-08 00:00:00+00:00,4,4,1.0,1.0
2024-09-09 00:00:00+00:00,16,9,71.0,1.0
2024-09-10 00:00:00+00:00,5,5,206.0,4.0
2024-09-11 00:00:00+00:00,10,9,3.0,1.0
2024-09-12 00:00:00+00:00,3,3,3.0,2.0
2024-09-13 00:00:00+00:00,16,9,18.0,2.0
2024-09-14 00:00:00+00:00,8,8,8.0,2.0
2024-09-15 00:00:00+00:00,10,6,59.0,2.0
2024-09-16 00:00:00+00:00,4,3,13.0,2.0
2024-09-17 00:00:00+00:00,4,4,,
2024-09-18 00:00:00+00:00,15,6,85.0,5.0
