url_path,views_total,views_unique
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102/examples,46,11
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102,28,18
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102/app,19,6
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102/examples/imageprocessor,19,6
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102/examples/chat,16,4
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102/library,15,5
/varabyte/kobweb-templates,13,9
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102/app/default,12,4
/varabyte/kobweb-templates/tree/da22048d2dec2eda5762ef2fa066f29002fd9102/examples/todo,12,2
/varabyte/kobweb-templates/tree/main/examples,11,4
