url_path,views_total,views_unique
/varabyte/kobweb-templates/tree/main/examples/todo,8,7
/varabyte/kobweb-templates/tree/cf00587d9cf5693091ec9fa68d5ff52393587e7d,7,7
/varabyte/kobweb-templates/blob/main/examples/todo/site/src/jsMain/kotlin/todo/pages/Index.kt,6,2
/varabyte/kobweb-templates,5,4
/varabyte/kobweb-templates/tree/main/examples/todo/site/src/jsMain,5,4
/varabyte/kobweb-templates/tree/main/examples/todo/site/src/jsMain/kotlin/todo,4,4
/varabyte/kobweb-templates/tree/main/examples/todo/site,3,3
/varabyte/kobweb-templates/tree/main/examples,3,1
/varabyte/kobweb-templates/tree/cf00587d9cf5693091ec9fa68d5ff52393587e7d/examples,2,2
/varabyte/kobweb-templates/tree/main/examples/todo/site/src,2,2
