time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-09 00:00:00+00:00,22,8,58.0,6.0
2025-02-10 00:00:00+00:00,14,10,9.0,2.0
2025-02-11 00:00:00+00:00,8,4,39.0,2.0
2025-02-12 00:00:00+00:00,5,3,14.0,2.0
2025-02-13 00:00:00+00:00,6,5,2.0,2.0
2025-02-14 00:00:00+00:00,6,3,,
2025-02-15 00:00:00+00:00,18,16,7.0,2.0
2025-02-16 00:00:00+00:00,8,5,37.0,4.0
2025-02-17 00:00:00+00:00,4,4,37.0,3.0
2025-02-18 00:00:00+00:00,20,13,26.0,1.0
2025-02-19 00:00:00+00:00,6,4,9.0,1.0
2025-02-20 00:00:00+00:00,11,9,2.0,1.0
2025-02-21 00:00:00+00:00,24,13,46.0,3.0
2025-02-22 00:00:00+00:00,12,6,75.0,4.0
