url_path,views_total,views_unique
/varabyte/kobweb-templates,15,11
/varabyte/kobweb-templates/tree/main/examples,12,9
/varabyte/kobweb-templates/tree/main/examples/todo,11,5
/varabyte/kobweb-templates/tree/ee1047ef7c9c2268a3406a1d3d443918c8e61012,9,8
/varabyte/kobweb-templates/tree/main/examples/todo/site,8,5
/varabyte/kobweb-templates/tree/main/examples/chat,7,5
/varabyte/kobweb-templates/tree/main/examples/todo/site/src,5,4
/varabyte/kobweb-templates/tree/main/examples/chat/site,5,3
/varabyte/kobweb-templates/tree/ee1047ef7c9c2268a3406a1d3d443918c8e61012/examples,4,4
/varabyte/kobweb-templates/tree/main/app,4,3
