time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-12 00:00:00+00:00,3,2,111.0,3.0
2024-05-13 00:00:00+00:00,17,13,22.0,4.0
2024-05-14 00:00:00+00:00,25,7,152.0,3.0
2024-05-15 00:00:00+00:00,7,7,,
2024-05-16 00:00:00+00:00,20,9,56.0,2.0
2024-05-17 00:00:00+00:00,16,9,23.0,2.0
2024-05-18 00:00:00+00:00,16,9,1.0,1.0
2024-05-19 00:00:00+00:00,13,8,,
2024-05-20 00:00:00+00:00,33,18,18.0,1.0
2024-05-21 00:00:00+00:00,10,8,,
2024-05-22 00:00:00+00:00,12,4,1.0,1.0
2024-05-23 00:00:00+00:00,13,10,14.0,3.0
2024-05-24 00:00:00+00:00,11,7,49.0,3.0
2024-05-25 00:00:00+00:00,16,8,34.0,1.0
