url_path,views_total,views_unique
/varabyte/kobweb-templates/tree/main/examples,43,12
/varabyte/kobweb-templates/tree/d39ce9765db1fd1f1351b09c84719a10e253829e/examples,40,6
/varabyte/kobweb-templates/tree/d39ce9765db1fd1f1351b09c84719a10e253829e,25,11
/varabyte/kobweb-templates/tree/main/examples/chat,23,7
/varabyte/kobweb-templates/tree/d39ce9765db1fd1f1351b09c84719a10e253829e/app/default/site/src/site,18,2
/varabyte/kobweb-templates,17,13
/varabyte/kobweb-templates/tree/d39ce9765db1fd1f1351b09c84719a10e253829e/app,17,4
/varabyte/kobweb-templates/tree/d39ce9765db1fd1f1351b09c84719a10e253829e/examples/chat,16,3
/varabyte/kobweb-templates/blob/d39ce9765db1fd1f1351b09c84719a10e253829e/examples/todo/site/src/jsMain/kotlin/todo/pages/Index.kt,16,2
/varabyte/kobweb-templates/blob/d39ce9765db1fd1f1351b09c84719a10e253829e/examples/chat/chat/src/jsMain/kotlin/chat/chat/pages/Chat.kt,16,1
