time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-16 00:00:00+00:00,7,6,24,3
2026-03-17 00:00:00+00:00,11,9,8,2
2026-03-18 00:00:00+00:00,72,5,1,1
2026-03-19 00:00:00+00:00,9,8,0,0
2026-03-20 00:00:00+00:00,2,2,19,2
2026-03-21 00:00:00+00:00,8,6,10,3
2026-03-22 00:00:00+00:00,11,7,10,3
2026-03-23 00:00:00+00:00,16,7,5,1
2026-03-24 00:00:00+00:00,16,8,2,2
2026-03-25 00:00:00+00:00,10,8,14,1
2026-03-26 00:00:00+00:00,13,6,0,0
2026-03-27 00:00:00+00:00,4,4,29,2
2026-03-28 00:00:00+00:00,9,7,6,3
2026-03-29 00:00:00+00:00,5,4,5,3
