url_path,views_total,views_unique
/varabyte/kobweb-templates/tree/main/examples,19,10
/varabyte/kobweb-templates,18,15
/varabyte/kobweb-templates/tree/main/app,14,6
/varabyte/kobweb-templates/tree/main/app/default,13,3
/varabyte/kobweb-templates/tree/5bc86f4cedd27ba5fc6f6e8775233e5d9f4ecc91,11,7
/varabyte/kobweb-templates/tree/5bc86f4cedd27ba5fc6f6e8775233e5d9f4ecc91/examples,8,5
/varabyte/kobweb-templates/tree/main/app/default/site,8,3
/varabyte/kobweb-templates/tree/main/app/default/site/src/site,7,3
/varabyte/kobweb-templates/tree/main/app/default/site/src/site/components,6,2
/varabyte/kobweb-templates/tree/5bc86f4cedd27ba5fc6f6e8775233e5d9f4ecc91/app,5,4
