url_path,views_total,views_unique
/varabyte/kobweb-templates,23,15
/varabyte/kobweb-templates/tree/main/examples,15,10
/varabyte/kobweb-templates/tree/5bc86f4cedd27ba5fc6f6e8775233e5d9f4ecc91,8,6
/varabyte/kobweb-templates/tree/main/app,7,5
/varabyte/kobweb-templates/tree/5bc86f4cedd27ba5fc6f6e8775233e5d9f4ecc91/examples,6,4
/varabyte/kobweb-templates/tree/main/examples/chat,4,4
/varabyte/kobweb-templates/tree/main/examples/opengl/site/src/jsMain,4,1
/varabyte/kobweb-templates/tree/main/app/empty,3,3
/varabyte/kobweb-templates/blob/640180949ff735898f385c125519859850d4e1b7/app/default/site/src/site/pages/Index.kt.ftl,3,2
/varabyte/kobweb-templates/tree/5bc86f4cedd27ba5fc6f6e8775233e5d9f4ecc91/examples/imageprocessor,3,2
