time_iso8601,stars_cumulative
2023-05-04 00:00:00+00:00,394
2023-05-07 00:00:00+00:00,395
2023-05-12 00:00:00+00:00,396
2023-05-21 00:00:00+00:00,397
2023-05-22 00:00:00+00:00,398
2023-05-24 00:00:00+00:00,399
2023-05-27 00:00:00+00:00,401
2023-06-01 00:00:00+00:00,402
2023-06-03 00:00:00+00:00,403
2023-06-13 00:00:00+00:00,413
2023-06-14 00:00:00+00:00,419
2023-06-15 00:00:00+00:00,421
2023-06-16 00:00:00+00:00,422
2023-06-17 00:00:00+00:00,423
2023-06-21 00:00:00+00:00,425
2023-07-02 00:00:00+00:00,426
2023-07-13 00:00:00+00:00,427
2023-07-14 00:00:00+00:00,428
2023-07-25 00:00:00+00:00,429
2023-08-04 00:00:00+00:00,430
2023-08-08 00:00:00+00:00,432
2023-08-13 00:00:00+00:00,434
2023-08-14 00:00:00+00:00,435
2023-08-18 00:00:00+00:00,436
2023-08-24 00:00:00+00:00,437
2023-08-26 00:00:00+00:00,438
2023-08-28 00:00:00+00:00,439
2023-09-07 00:00:00+00:00,441
2023-09-13 00:00:00+00:00,442
2023-09-23 00:00:00+00:00,443
2023-09-24 00:00:00+00:00,444
2023-09-25 00:00:00+00:00,445
2023-09-29 00:00:00+00:00,446
2023-10-04 00:00:00+00:00,448
2023-10-07 00:00:00+00:00,449
2023-10-10 00:00:00+00:00,450
2023-10-15 00:00:00+00:00,451
2023-10-26 00:00:00+00:00,452
2023-11-01 00:00:00+00:00,453
2023-11-04 00:00:00+00:00,454
2023-11-05 00:00:00+00:00,455
2023-11-07 00:00:00+00:00,456
2023-11-08 00:00:00+00:00,457
2023-11-16 00:00:00+00:00,460
2023-11-24 00:00:00+00:00,461
2023-11-26 00:00:00+00:00,463
2023-11-27 00:00:00+00:00,464
2023-11-28 00:00:00+00:00,465
2023-11-30 00:00:00+00:00,466
2023-12-06 00:00:00+00:00,467
2023-12-08 00:00:00+00:00,468
2023-12-12 00:00:00+00:00,469
2023-12-16 00:00:00+00:00,470
2023-12-17 00:00:00+00:00,471
2023-12-28 00:00:00+00:00,472
2023-12-29 00:00:00+00:00,473
2024-01-04 00:00:00+00:00,475
2024-01-06 00:00:00+00:00,477
2024-01-14 00:00:00+00:00,478
2024-01-19 00:00:00+00:00,479
2024-01-26 00:00:00+00:00,480
2024-01-28 00:00:00+00:00,481
2024-01-30 00:00:00+00:00,482
2024-02-05 00:00:00+00:00,483
2024-02-06 00:00:00+00:00,484
2024-02-08 00:00:00+00:00,486
2024-02-13 00:00:00+00:00,488
2024-02-14 00:00:00+00:00,489
2024-02-15 00:00:00+00:00,490
2024-02-17 00:00:00+00:00,491
2024-02-18 00:00:00+00:00,493
2024-02-23 00:00:00+00:00,494
2024-02-27 00:00:00+00:00,495
2024-02-28 00:00:00+00:00,496
2024-02-29 00:00:00+00:00,498
2024-03-02 00:00:00+00:00,499
2024-03-03 00:00:00+00:00,500
2024-03-05 00:00:00+00:00,501
2024-03-06 00:00:00+00:00,502
2024-03-10 00:00:00+00:00,503
2024-03-13 00:00:00+00:00,504
2024-03-16 00:00:00+00:00,505
2024-03-17 00:00:00+00:00,507
2024-03-22 00:00:00+00:00,508
2024-03-23 00:00:00+00:00,509
2024-03-25 00:00:00+00:00,510
2024-04-04 00:00:00+00:00,511
2024-04-12 00:00:00+00:00,512
2024-04-15 00:00:00+00:00,514
2024-04-27 00:00:00+00:00,515
2024-05-01 00:00:00+00:00,516
2024-05-05 00:00:00+00:00,518
2024-05-10 00:00:00+00:00,519
2024-05-15 00:00:00+00:00,520
2024-05-17 00:00:00+00:00,521
2024-05-24 00:00:00+00:00,522
2024-05-25 00:00:00+00:00,523
2024-05-30 00:00:00+00:00,525
2024-06-05 00:00:00+00:00,526
2024-06-09 00:00:00+00:00,529
2024-06-10 00:00:00+00:00,530
2024-06-15 00:00:00+00:00,531
2024-06-22 00:00:00+00:00,532
2024-06-23 00:00:00+00:00,533
2024-06-26 00:00:00+00:00,534
2024-07-08 00:00:00+00:00,535
2024-07-11 00:00:00+00:00,536
2024-07-16 00:00:00+00:00,537
2024-07-18 00:00:00+00:00,538
2024-07-21 00:00:00+00:00,539
2024-07-25 00:00:00+00:00,540
2024-07-26 00:00:00+00:00,541
2024-07-27 00:00:00+00:00,542
2024-07-30 00:00:00+00:00,544
2024-08-06 00:00:00+00:00,545
2024-08-09 00:00:00+00:00,547
2024-08-10 00:00:00+00:00,549
2024-08-14 00:00:00+00:00,550
2024-08-18 00:00:00+00:00,551
2024-08-19 00:00:00+00:00,552
2024-08-23 00:00:00+00:00,553
2024-08-27 00:00:00+00:00,555
2024-08-28 00:00:00+00:00,556
2024-09-01 00:00:00+00:00,557
2024-09-08 00:00:00+00:00,558
2024-09-12 00:00:00+00:00,559
