time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-14 00:00:00+00:00,0,0,2,1
2024-08-15 00:00:00+00:00,0,0,2,1
2024-08-19 00:00:00+00:00,2,2,3,3
2024-08-20 00:00:00+00:00,0,0,8,1
2024-08-21 00:00:00+00:00,0,0,2,2
2024-08-22 00:00:00+00:00,0,0,6,4
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,0,0,1,1
2024-08-26 00:00:00+00:00,0,0,6,5
2024-08-27 00:00:00+00:00,2,2,2,2
2024-08-29 00:00:00+00:00,2,2,3,3
2024-08-31 00:00:00+00:00,3,3,0,0
2024-09-01 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,4,4,0,0
2024-09-07 00:00:00+00:00,0,0,1,1
2024-09-08 00:00:00+00:00,3,3,0,0
2024-09-10 00:00:00+00:00,1,1,1,1
2024-09-11 00:00:00+00:00,1,1,31,1
2024-09-12 00:00:00+00:00,0,0,5,5
2024-09-13 00:00:00+00:00,0,0,49,2
2024-09-14 00:00:00+00:00,2,2,0,0
2024-09-15 00:00:00+00:00,4,4,3,2
2024-09-16 00:00:00+00:00,2,2,0,0
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-18 00:00:00+00:00,2,2,0,0
2024-09-19 00:00:00+00:00,0,0,3,2
2024-09-20 00:00:00+00:00,4,4,0,0
2024-09-21 00:00:00+00:00,1,1,0,0
2024-09-23 00:00:00+00:00,1,1,1,1
2024-09-24 00:00:00+00:00,1,1,11,2
2024-09-27 00:00:00+00:00,1,1,0,0
2024-09-29 00:00:00+00:00,0,0,2,2
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,0,0,4,1
2024-10-04 00:00:00+00:00,0,0,3,2
2024-10-06 00:00:00+00:00,0,0,3,2
2024-10-07 00:00:00+00:00,1,1,2,2
2024-10-08 00:00:00+00:00,0,0,23,2
2024-10-09 00:00:00+00:00,2,2,2,1
2024-10-10 00:00:00+00:00,0,0,39,4
2024-10-11 00:00:00+00:00,1,1,6,1
2024-10-12 00:00:00+00:00,0,0,2,1
2024-10-13 00:00:00+00:00,1,1,0,0
2024-10-14 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,0,0,1,1
2024-10-17 00:00:00+00:00,0,0,4,3
2024-10-18 00:00:00+00:00,0,0,6,2
2024-10-21 00:00:00+00:00,0,0,3,2
2024-10-22 00:00:00+00:00,0,0,2,2
2024-10-23 00:00:00+00:00,0,0,1,1
2024-10-27 00:00:00+00:00,0,0,35,2
2024-10-30 00:00:00+00:00,0,0,1,1
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-03 00:00:00+00:00,0,0,2,2
2024-11-05 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,0,0,13,2
2024-11-09 00:00:00+00:00,0,0,3,2
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-14 00:00:00+00:00,0,0,2,1
2024-11-15 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,0,0,5,3
2024-11-19 00:00:00+00:00,0,0,5,4
2024-11-20 00:00:00+00:00,0,0,2,2
2024-11-21 00:00:00+00:00,1,1,40,1
2024-11-22 00:00:00+00:00,2,1,27,2
2024-11-23 00:00:00+00:00,1,1,6,2
2024-11-24 00:00:00+00:00,17,4,80,2
2024-11-25 00:00:00+00:00,58,10,157,5
2024-11-26 00:00:00+00:00,12,3,42,6
2024-11-27 00:00:00+00:00,0,0,5,3
2024-12-02 00:00:00+00:00,1,1,3,3
2024-12-04 00:00:00+00:00,0,0,7,2
2024-12-05 00:00:00+00:00,1,1,0,0
2024-12-07 00:00:00+00:00,17,5,15,1
2024-12-08 00:00:00+00:00,1,1,1,1
2024-12-09 00:00:00+00:00,1,1,1,1
2024-12-10 00:00:00+00:00,0,0,4,4
2024-12-11 00:00:00+00:00,1,1,4,1
2024-12-12 00:00:00+00:00,0,0,24,2
2024-12-13 00:00:00+00:00,0,0,4,1
2024-12-14 00:00:00+00:00,1,1,1,1
2024-12-15 00:00:00+00:00,0,0,3,3
2024-12-16 00:00:00+00:00,0,0,3,3
2024-12-17 00:00:00+00:00,0,0,4,3
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-19 00:00:00+00:00,0,0,2,2
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-24 00:00:00+00:00,0,0,3,1
2024-12-25 00:00:00+00:00,0,0,2,1
2024-12-29 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,0,0,4,2
2025-01-04 00:00:00+00:00,1,1,3,1
2025-01-06 00:00:00+00:00,1,1,1,1
2025-01-09 00:00:00+00:00,0,0,9,3
2025-01-10 00:00:00+00:00,3,2,3,2
2025-01-11 00:00:00+00:00,0,0,2,2
2025-01-12 00:00:00+00:00,1,1,1,1
2025-01-13 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-15 00:00:00+00:00,0,0,1,1
2025-01-16 00:00:00+00:00,0,0,2,2
2025-01-18 00:00:00+00:00,0,0,9,4
2025-01-19 00:00:00+00:00,19,6,53,4
2025-01-20 00:00:00+00:00,0,0,16,3
2025-01-21 00:00:00+00:00,0,0,10,2
2025-01-22 00:00:00+00:00,0,0,9,4
2025-01-23 00:00:00+00:00,3,1,17,5
2025-01-24 00:00:00+00:00,0,0,1,1
2025-01-26 00:00:00+00:00,0,0,2,2
2025-01-27 00:00:00+00:00,1,1,1,1
2025-01-29 00:00:00+00:00,0,0,3,2
2025-01-31 00:00:00+00:00,0,0,3,3
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,2,2,2,2
2025-02-04 00:00:00+00:00,0,0,2,1
2025-02-05 00:00:00+00:00,1,1,2,1
2025-02-06 00:00:00+00:00,1,1,2,2
2025-02-07 00:00:00+00:00,7,4,261,4
2025-02-08 00:00:00+00:00,2,2,1,1
2025-02-10 00:00:00+00:00,1,1,1,1
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,1,1,1,1
2025-02-14 00:00:00+00:00,0,0,2,2
2025-02-15 00:00:00+00:00,0,0,1,1
2025-02-17 00:00:00+00:00,0,0,2,2
2025-02-18 00:00:00+00:00,0,0,4,3
2025-02-19 00:00:00+00:00,0,0,3,3
2025-02-20 00:00:00+00:00,1,1,0,0
2025-02-21 00:00:00+00:00,0,0,8,3
2025-02-24 00:00:00+00:00,6,6,0,0
2025-02-26 00:00:00+00:00,2,1,3,3
2025-02-28 00:00:00+00:00,0,0,3,1
2025-03-01 00:00:00+00:00,1,1,0,0
