url_path,views_total,views_unique
/varabyte/kobweb,395,210
/varabyte/kobweb/issues,51,19
/varabyte/kobweb/releases/tag/v0.24.0,28,18
/varabyte/kobweb/pulls,24,8
/varabyte/kobweb/releases,20,12
/varabyte/kobweb/actions/workflows/publish.yml,20,3
/varabyte/kobweb/milestone/1,17,8
/varabyte/kobweb/tree/dev,16,9
/varabyte/kobweb/tags,12,5
/varabyte/kobweb/commits/dev,11,6
