referrer,views_total,views_unique
kobweb.varabyte.com,110,51
Google,85,63
github.com,52,23
t.co,11,11
Baidu,8,4
Bing,5,5
search.brave.com,5,4
ecosia.org,2,2
klibs.io,2,2
DuckDuckGo,1,1
