referrer,views_total,views_unique
kobweb.varabyte.com,110,54
Google,90,68
github.com,41,19
t.co,14,12
Baidu,7,3
klibs.io,5,5
search.brave.com,5,4
Bing,4,4
bitspittle.dev,2,2
ecosia.org,2,2
