time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-03 00:00:00+00:00,3.0,2.0,182,53
2024-07-04 00:00:00+00:00,2.0,2.0,169,57
2024-07-05 00:00:00+00:00,,,262,40
2024-07-06 00:00:00+00:00,1.0,1.0,209,39
2024-07-07 00:00:00+00:00,4.0,3.0,139,37
2024-07-08 00:00:00+00:00,6.0,5.0,231,57
2024-07-09 00:00:00+00:00,6.0,3.0,154,51
2024-07-10 00:00:00+00:00,,,118,50
2024-07-11 00:00:00+00:00,1.0,1.0,181,62
2024-07-12 00:00:00+00:00,4.0,4.0,231,48
2024-07-13 00:00:00+00:00,,,128,33
2024-07-14 00:00:00+00:00,2.0,1.0,149,45
2024-07-15 00:00:00+00:00,1.0,1.0,250,57
2024-07-16 00:00:00+00:00,,,160,50
