time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-06 00:00:00+00:00,39,20,292,56
2025-04-07 00:00:00+00:00,3,3,109,50
2025-04-08 00:00:00+00:00,1,1,193,59
2025-04-09 00:00:00+00:00,3,3,122,36
2025-04-10 00:00:00+00:00,1,1,129,39
2025-04-11 00:00:00+00:00,5,3,128,39
2025-04-12 00:00:00+00:00,4,3,160,32
2025-04-13 00:00:00+00:00,3,3,189,41
2025-04-14 00:00:00+00:00,8,2,134,40
2025-04-15 00:00:00+00:00,3,2,162,43
2025-04-16 00:00:00+00:00,484,6,154,38
2025-04-17 00:00:00+00:00,1,1,44,29
2025-04-18 00:00:00+00:00,35,15,89,24
2025-04-19 00:00:00+00:00,19,9,105,28
