time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-08 00:00:00+00:00,2,2,167,50
2024-08-09 00:00:00+00:00,10,7,164,51
2024-08-10 00:00:00+00:00,2,2,225,50
2024-08-11 00:00:00+00:00,1,1,99,30
2024-08-12 00:00:00+00:00,2,2,100,38
2024-08-13 00:00:00+00:00,1,1,163,52
2024-08-14 00:00:00+00:00,1,1,189,60
2024-08-15 00:00:00+00:00,8,7,194,50
2024-08-16 00:00:00+00:00,2,2,117,49
2024-08-17 00:00:00+00:00,5,5,147,33
2024-08-18 00:00:00+00:00,1,1,85,31
2024-08-19 00:00:00+00:00,4,4,282,47
2024-08-20 00:00:00+00:00,2,2,216,56
2024-08-21 00:00:00+00:00,1,1,273,36
