url_path,views_total,views_unique
/varabyte/kobweb,672,279
/varabyte/kobweb/pulls,141,9
/varabyte/kobweb/pull/694,62,4
/varabyte/kobweb/pull/693,47,4
/varabyte/kobweb/issues,42,20
/varabyte/kobweb/tree/main/frontend,38,12
/varabyte/kobweb/releases,33,19
/varabyte/kobweb/blob/main/COMPATIBILITY.md,27,12
/varabyte/kobweb/pull/694/files,27,2
/varabyte/kobweb/tree/dev,26,4
