time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-26 00:00:00+00:00,1.0,1.0,71,35
2024-10-27 00:00:00+00:00,1.0,1.0,1567,39
2024-10-28 00:00:00+00:00,,,75,42
2024-10-29 00:00:00+00:00,,,127,52
2024-10-30 00:00:00+00:00,,,132,51
2024-10-31 00:00:00+00:00,4.0,3.0,90,34
2024-11-01 00:00:00+00:00,5.0,4.0,131,46
2024-11-02 00:00:00+00:00,3.0,3.0,88,39
2024-11-03 00:00:00+00:00,2.0,2.0,95,37
2024-11-04 00:00:00+00:00,3.0,2.0,130,47
2024-11-05 00:00:00+00:00,,,107,37
2024-11-06 00:00:00+00:00,2.0,2.0,221,44
2024-11-07 00:00:00+00:00,1.0,1.0,155,44
2024-11-08 00:00:00+00:00,4.0,3.0,118,41
