referrer,views_total,views_unique
kobweb.varabyte.com,115,52
Google,89,61
github.com,46,19
Baidu,9,5
Bing,5,5
search.brave.com,4,3
klibs.io,3,3
DuckDuckGo,2,2
ecosia.org,2,2
claude.ai,1,1
