time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-05 00:00:00+00:00,3,3,10,5
2026-01-06 00:00:00+00:00,9,4,22,6
2026-01-07 00:00:00+00:00,2,2,26,18
2026-01-08 00:00:00+00:00,0,0,31,9
2026-01-09 00:00:00+00:00,5,5,3,3
2026-01-10 00:00:00+00:00,2,2,4,4
2026-01-11 00:00:00+00:00,1,1,7,6
2026-01-12 00:00:00+00:00,3,3,20,9
2026-01-13 00:00:00+00:00,3,3,8,7
2026-01-14 00:00:00+00:00,2,2,3,3
2026-01-15 00:00:00+00:00,5,4,3,2
2026-01-16 00:00:00+00:00,4,4,2,2
2026-01-17 00:00:00+00:00,2,2,6,6
2026-01-18 00:00:00+00:00,2,2,20,4
