time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-01 00:00:00+00:00,1.0,1.0,27,12
2025-10-02 00:00:00+00:00,1.0,1.0,15,13
2025-10-03 00:00:00+00:00,1.0,1.0,20,9
2025-10-04 00:00:00+00:00,,,7,4
2025-10-05 00:00:00+00:00,1.0,1.0,9,7
2025-10-06 00:00:00+00:00,,,22,11
2025-10-07 00:00:00+00:00,2.0,2.0,3,3
2025-10-08 00:00:00+00:00,1.0,1.0,7,6
2025-10-09 00:00:00+00:00,,,9,8
2025-10-10 00:00:00+00:00,1.0,1.0,2,2
2025-10-11 00:00:00+00:00,,,23,10
2025-10-12 00:00:00+00:00,3.0,3.0,14,4
2025-10-13 00:00:00+00:00,6.0,2.0,46,7
2025-10-14 00:00:00+00:00,7.0,2.0,10,8
