time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,67,22,13,6
2026-04-30 00:00:00+00:00,84,23,62,12
2026-05-01 00:00:00+00:00,832,36,87,13
2026-05-02 00:00:00+00:00,294,30,34,13
2026-05-03 00:00:00+00:00,146,40,78,13
2026-05-04 00:00:00+00:00,138,29,58,9
2026-05-05 00:00:00+00:00,63,20,38,8
2026-05-06 00:00:00+00:00,580,82,159,10
2026-05-07 00:00:00+00:00,306,48,41,10
2026-05-08 00:00:00+00:00,17,14,28,12
2026-05-09 00:00:00+00:00,46,17,27,7
2026-05-10 00:00:00+00:00,10,9,9,8
2026-05-11 00:00:00+00:00,36,13,29,12
2026-05-12 00:00:00+00:00,952,10,6,5
