time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,32,28,4,3
2026-09-10 00:00:00+00:00,2,2,11,7
2026-09-11 00:00:00+00:00,5,4,30,22
2026-09-12 00:00:00+00:00,8,5,25,16
2026-09-13 00:00:00+00:00,12,3,6,6
2026-09-14 00:00:00+00:00,0,0,10,7
2026-09-15 00:00:00+00:00,16,15,21,5
2026-09-16 00:00:00+00:00,2,2,13,7
2026-09-17 00:00:00+00:00,18,4,4,4
2026-09-18 00:00:00+00:00,11,6,9,6
2026-09-19 00:00:00+00:00,1,1,14,10
2026-09-20 00:00:00+00:00,2,2,7,5
2026-09-21 00:00:00+00:00,0,0,8,6
2026-09-22 00:00:00+00:00,0,0,10,9
