time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-03 00:00:00+00:00,,,8,4
2024-08-04 00:00:00+00:00,,,24,6
2024-08-05 00:00:00+00:00,,,34,9
2024-08-06 00:00:00+00:00,1.0,1.0,23,5
2024-08-07 00:00:00+00:00,1.0,1.0,26,8
2024-08-08 00:00:00+00:00,,,3,3
2024-08-09 00:00:00+00:00,1.0,1.0,15,7
2024-08-10 00:00:00+00:00,,,22,9
2024-08-11 00:00:00+00:00,,,15,8
2024-08-12 00:00:00+00:00,,,10,7
2024-08-13 00:00:00+00:00,3.0,3.0,157,11
2024-08-14 00:00:00+00:00,1.0,1.0,63,13
2024-08-15 00:00:00+00:00,1.0,1.0,35,12
2024-08-16 00:00:00+00:00,,,14,7
