time_iso8601,stars_cumulative
2022-10-02 00:00:00+00:00,362
2022-10-03 00:00:00+00:00,363
2022-10-05 00:00:00+00:00,364
2022-10-06 00:00:00+00:00,365
2022-10-13 00:00:00+00:00,366
2022-10-16 00:00:00+00:00,367
2022-10-17 00:00:00+00:00,369
2022-10-18 00:00:00+00:00,370
2022-10-26 00:00:00+00:00,371
2022-10-29 00:00:00+00:00,372
2022-10-30 00:00:00+00:00,373
2022-10-31 00:00:00+00:00,376
2022-11-01 00:00:00+00:00,377
2022-11-03 00:00:00+00:00,378
2022-11-04 00:00:00+00:00,379
2022-11-06 00:00:00+00:00,380
2022-11-07 00:00:00+00:00,381
2022-11-08 00:00:00+00:00,382
2022-11-13 00:00:00+00:00,383
2022-11-14 00:00:00+00:00,384
2022-11-15 00:00:00+00:00,385
2022-11-18 00:00:00+00:00,388
2022-11-19 00:00:00+00:00,389
2022-11-20 00:00:00+00:00,390
2022-11-22 00:00:00+00:00,391
2022-11-24 00:00:00+00:00,392
2022-12-03 00:00:00+00:00,393
2022-12-05 00:00:00+00:00,394
2022-12-06 00:00:00+00:00,395
2022-12-09 00:00:00+00:00,396
2022-12-10 00:00:00+00:00,397
2022-12-12 00:00:00+00:00,398
2022-12-15 00:00:00+00:00,399
2022-12-17 00:00:00+00:00,400
2022-12-25 00:00:00+00:00,401
2022-12-29 00:00:00+00:00,402
2023-01-06 00:00:00+00:00,403
2023-01-08 00:00:00+00:00,404
2023-01-09 00:00:00+00:00,405
2023-01-10 00:00:00+00:00,407
2023-01-11 00:00:00+00:00,408
2023-01-12 00:00:00+00:00,409
2023-01-15 00:00:00+00:00,410
2023-01-20 00:00:00+00:00,415
2023-01-23 00:00:00+00:00,417
2023-01-24 00:00:00+00:00,418
2023-01-27 00:00:00+00:00,419
2023-01-28 00:00:00+00:00,420
2023-01-29 00:00:00+00:00,421
2023-02-02 00:00:00+00:00,422
2023-02-05 00:00:00+00:00,424
2023-02-07 00:00:00+00:00,425
2023-02-08 00:00:00+00:00,427
2023-02-11 00:00:00+00:00,428
2023-02-12 00:00:00+00:00,430
2023-02-13 00:00:00+00:00,433
2023-02-14 00:00:00+00:00,436
2023-02-15 00:00:00+00:00,440
2023-02-16 00:00:00+00:00,442
2023-02-19 00:00:00+00:00,443
2023-02-20 00:00:00+00:00,446
2023-02-21 00:00:00+00:00,452
2023-02-22 00:00:00+00:00,454
2023-02-26 00:00:00+00:00,460
2023-02-27 00:00:00+00:00,464
2023-02-28 00:00:00+00:00,469
2023-03-01 00:00:00+00:00,472
2023-03-02 00:00:00+00:00,473
2023-03-03 00:00:00+00:00,474
2023-03-04 00:00:00+00:00,476
2023-03-05 00:00:00+00:00,477
2023-03-06 00:00:00+00:00,479
2023-03-07 00:00:00+00:00,480
2023-03-10 00:00:00+00:00,481
